date,country,D,H,I,M,S
2025-09-01,Albania,0.0,1.0,0.0,0.0,0.0
2025-09-01,Angola,0.0,35.0,0.0,0.0,0.0
2025-09-01,Australia,0.0,25.0,0.0,0.0,0.0
2025-09-02,Albania,0.0,1.0,0.0,0.0,0.0
2025-09-02,Angola,0.0,27.0,8.0,0.0,0.0
2025-09-02,Australia,0.0,20.0,5.0,0.0,0.0
2025-09-03,Albania,0.0,1.0,0.0,0.0,0.0
2025-09-03,Angola,0.0,23.0,12.0,0.0,0.0
2025-09-03,Australia,0.0,17.0,8.0,0.0,0.0
2025-09-04,Albania,0.0,1.0,0.0,0.0,0.0
2025-09-04,Angola,0.0,20.0,15.0,0.0,0.0
2025-09-04,Australia,0.0,15.0,10.0,0.0,0.0
2025-09-05,Albania,0.0,0.0,1.0,0.0,0.0
2025-09-05,Angola,0.0,19.0,16.0,0.0,0.0
2025-09-05,Australia,0.0,10.0,15.0,0.0,0.0
2025-09-06,Albania,0.0,0.0,1.0,0.0,0.0
2025-09-06,Angola,0.0,12.0,23.0,0.0,0.0
2025-09-06,Australia,0.0,9.0,16.0,0.0,0.0
2025-09-07,Albania,0.0,0.0,1.0,0.0,0.0
2025-09-07,Angola,0.0,9.0,18.0,3.0,5.0
2025-09-07,Australia,0.0,8.0,12.0,4.0,1.0
2025-09-08,Albania,0.0,0.0,1.0,0.0,0.0
2025-09-08,Angola,0.0,8.0,15.0,5.0,7.0
2025-09-08,Australia,0.0,8.0,9.0,6.0,2.0
2025-09-09,Albania,0.0,0.0,1.0,0.0,0.0
2025-09-09,Angola,0.0,8.0,12.0,5.0,10.0
2025-09-09,Australia,0.0,7.0,8.0,8.0,2.0
2025-09-10,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-10,Angola,0.0,8.0,11.0,5.0,11.0
2025-09-10,Australia,0.0,3.0,7.0,11.0,4.0
2025-09-11,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-11,Angola,0.0,8.0,4.0,7.0,16.0
2025-09-11,Australia,0.0,3.0,6.0,12.0,4.0
2025-09-12,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-12,Angola,0.0,7.0,2.0,8.0,18.0
2025-09-12,Australia,0.0,1.0,7.0,12.0,5.0
2025-09-13,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-13,Angola,0.0,7.0,1.0,8.0,19.0
2025-09-13,Australia,0.0,1.0,7.0,12.0,5.0
2025-09-14,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-14,Angola,0.0,7.0,1.0,8.0,19.0
2025-09-14,Australia,0.0,1.0,6.0,12.0,6.0
2025-09-15,Albania,0.0,0.0,0.0,0.0,1.0
2025-09-15,Angola,0.0,7.0,1.0,8.0,19.0
2025-09-15,Australia,0.0,0.0,3.0,15.0,7.0
2025-09-16,Albania,0.0,0.0,0.0,0.0,1.0
